product_id,name,description,category,brand,image_url,popularity_score
1,Pegasus 40,"Men's road running shoes with responsive cushioning, breathable mesh upper, and Nike React foam technology. Perfect for daily training runs.",Running,Nike,/images/products/nike-pegasus-40.jpg,"4.5"
2,Ghost 15,Women's neutral running shoe featuring DNA LOFT cushioning and engineered air mesh upper. Ideal for road running with excellent shock absorption.,Running,Brooks,/images/products/brooks-ghost-15.jpg,"4.7"
3,Speedgoat 5,Trail running shoes with Vibram® Megagrip outsole and waterproof Gore-Tex membrane. Maximum cushioning for technical terrain.,Running,Hoka,/images/products/hoka-speedgoat-5.jpg,"4.6"
4,Trek 500,"50L hiking backpack with adjustable back system, rain cover, and multiple compartments. Water-resistant fabric and comfortable padded straps.",Hiking and Camp,Quechua,/images/products/quechua-trek-500.jpg,"4.5"
5,Osprey Atmos AG 65,"65L backpack featuring Anti-Gravity suspension, integrated rain cover, and multiple access points. Perfect for multi-day treks.",Hiking and Camp,Osprey,/images/products/osprey-atmos-65.jpg,"4.9"
6,MH2,"2-person ultralight tent with double-wall construction, waterproof rainfly (3000mm), and aluminum poles. Easy 5-minute setup.",Hiking and Camp,Mountain Hardwear,/images/products/mh-tent.jpg,"4.4"
7,Hubba Hubba NX,"3-season 2-person tent with DAC Featherlite poles, DWR-coated ripstop nylon, and vestibules for gear storage. Freestanding design.",Hiking and Camp,MSR,/images/products/msr-hubba-hubba.jpg,"4.8"
8,Aether Pro 70,70L expedition backpack with custom-fit shoulder straps and hipbelt. Features waterproof materials and reinforced high-wear points.,Hiking and Camp,Osprey,/images/products/osprey-aether-70.jpg,"4.7"
9,Endorphin Speed 3,Unisex performance running shoe with PWRRUN PB cushioning and nylon plate. Ideal for tempo runs and race day.,Running,Saucony,/images/products/saucony-endorphin-speed.jpg,"4.8"
10,Copper Spur HV UL2,"Ultralight 2-person tent with dual vestibules, steep wall architecture, and solution-dyed fabric for UV protection. 3-season design.",Hiking and Camp,Big Agnes,/images/products/big-agnes-copper-spur.jpg,"4.6"
